new_file,source,category,technique
aug_burping_0000_time_shift.wav,532c.wav,burping,time_shift
aug_burping_0001_time_stretch.wav,515c.wav,burping,time_stretch
aug_burping_0002_add_noise.wav,531c.wav,burping,add_noise
aug_burping_0003_time_stretch.wav,495c.wav,burping,time_stretch
aug_burping_0004_time_stretch.wav,529c.wav,burping,time_stretch
aug_burping_0005_time_stretch.wav,483c.wav,burping,time_stretch
aug_lonely_0000_pitch_shift.wav,d1e236a0-e030-4137-9030-5625026cd098-1430390498353-1.2-m-04-lo.wav,lonely,pitch_shift
aug_lonely_0001_time_shift.wav,lo-14.wav,lonely,time_shift
aug_lonely_0002_time_shift.wav,lo-12 - Copy.wav,lonely,time_shift
aug_lonely_0003_time_stretch.wav,999bf14b-e417-4b44-b746-9253f81efe38-1430972741816-1.7-m-26-lo.wav,lonely,time_stretch
aug_lonely_0004_time_shift.wav,lo-12.wav,lonely,time_shift
aug_lonely_0005_time_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185393784-1.7-f-26-lo.wav,lonely,time_shift
aug_lonely_0006_time_stretch.wav,lo-1 - Copy.wav,lonely,time_stretch
aug_lonely_0007_add_noise.wav,be21ef2a-a415-4e8b-bfe6-731bf9956e2c-1431320938449-1.7-f-26-lo.wav,lonely,add_noise
aug_lonely_0008_pitch_shift.wav,lo-2.wav,lonely,pitch_shift
aug_lonely_0009_pitch_shift.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288944366-1.7-f-72-lo.wav,lonely,pitch_shift
aug_lonely_0010_add_noise.wav,lo-14.wav,lonely,add_noise
aug_lonely_0011_pitch_shift.wav,lo-3 - Copy.wav,lonely,pitch_shift
aug_lonely_0012_time_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185393784-1.7-f-26-lo.wav,lonely,time_shift
aug_lonely_0013_pitch_shift.wav,lo-18.wav,lonely,pitch_shift
aug_lonely_0014_time_shift.wav,88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114359516-1.7-m-04-lo.wav,lonely,time_shift
aug_lonely_0015_add_noise.wav,lo-1 - Copy.wav,lonely,add_noise
aug_lonely_0016_pitch_shift.wav,lo-3.wav,lonely,pitch_shift
aug_lonely_0017_time_stretch.wav,lo-12.wav,lonely,time_stretch
aug_lonely_0018_time_shift.wav,lo-19.wav,lonely,time_shift
aug_lonely_0019_pitch_shift.wav,lo-2.wav,lonely,pitch_shift
aug_lonely_0020_time_shift.wav,lo-13.wav,lonely,time_shift
aug_lonely_0021_time_stretch.wav,lo-3.wav,lonely,time_stretch
aug_lonely_0022_time_stretch.wav,999bf14b-e417-4b44-b746-9253f81efe38-1430972741816-1.7-m-26-lo.wav,lonely,time_stretch
aug_lonely_0023_add_noise.wav,lo-14 - Copy.wav,lonely,add_noise
aug_lonely_0024_time_stretch.wav,lo-18.wav,lonely,time_stretch
aug_lonely_0025_pitch_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav,lonely,pitch_shift
aug_lonely_0026_pitch_shift.wav,lo-1.wav,lonely,pitch_shift
aug_lonely_0027_time_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav,lonely,time_shift
aug_lonely_0028_add_noise.wav,d1e236a0-e030-4137-9030-5625026cd098-1430390498353-1.2-m-04-lo.wav,lonely,add_noise
aug_lonely_0029_time_shift.wav,lo-4.wav,lonely,time_shift
aug_lonely_0030_time_stretch.wav,lo-13.wav,lonely,time_stretch
aug_lonely_0031_time_shift.wav,lo-4.wav,lonely,time_shift
aug_lonely_0032_pitch_shift.wav,3f61124d-d02c-47dd-a009-44e97e60c4ca-1430759482503-1.7-f-72-lo.wav,lonely,pitch_shift
aug_lonely_0033_add_noise.wav,lo-13.wav,lonely,add_noise
aug_lonely_0034_add_noise.wav,88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114359516-1.7-m-04-lo.wav,lonely,add_noise
aug_lonely_0035_time_shift.wav,d1e236a0-e030-4137-9030-5625026cd098-1430390498353-1.2-m-04-lo.wav,lonely,time_shift
aug_lonely_0036_pitch_shift.wav,3f61124d-d02c-47dd-a009-44e97e60c4ca-1430759482503-1.7-f-72-lo.wav,lonely,pitch_shift
aug_lonely_0037_time_stretch.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288921225-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0038_time_shift.wav,dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav,lonely,time_shift
aug_lonely_0039_pitch_shift.wav,lo-18.wav,lonely,pitch_shift
aug_lonely_0040_time_stretch.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288921225-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0041_time_shift.wav,lo-12.wav,lonely,time_shift
aug_lonely_0042_time_shift.wav,lo-18.wav,lonely,time_shift
aug_lonely_0043_pitch_shift.wav,dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav,lonely,pitch_shift
aug_lonely_0044_time_stretch.wav,lo-4.wav,lonely,time_stretch
aug_lonely_0045_time_stretch.wav,lo-4.wav,lonely,time_stretch
aug_lonely_0046_time_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav,lonely,time_shift
aug_lonely_0047_time_stretch.wav,3f61124d-d02c-47dd-a009-44e97e60c4ca-1430759482503-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0048_time_shift.wav,lo-13.wav,lonely,time_shift
aug_lonely_0049_add_noise.wav,lo-4.wav,lonely,add_noise
aug_lonely_0050_add_noise.wav,lo-13.wav,lonely,add_noise
aug_lonely_0051_add_noise.wav,lo-3.wav,lonely,add_noise
aug_lonely_0052_add_noise.wav,lo-12 - Copy.wav,lonely,add_noise
aug_lonely_0053_time_shift.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288944366-1.7-f-72-lo.wav,lonely,time_shift
aug_lonely_0054_add_noise.wav,lo-18.wav,lonely,add_noise
aug_lonely_0055_add_noise.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav,lonely,add_noise
aug_lonely_0056_time_stretch.wav,be21ef2a-a415-4e8b-bfe6-731bf9956e2c-1431320938449-1.7-f-26-lo.wav,lonely,time_stretch
aug_lonely_0057_pitch_shift.wav,lo-18 - Copy.wav,lonely,pitch_shift
aug_lonely_0058_pitch_shift.wav,88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114359516-1.7-m-04-lo.wav,lonely,pitch_shift
aug_lonely_0059_time_stretch.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288921225-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0060_time_shift.wav,88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114359516-1.7-m-04-lo.wav,lonely,time_shift
aug_lonely_0061_time_shift.wav,be21ef2a-a415-4e8b-bfe6-731bf9956e2c-1431320938449-1.7-f-26-lo.wav,lonely,time_shift
aug_lonely_0062_pitch_shift.wav,lo-12.wav,lonely,pitch_shift
aug_lonely_0063_add_noise.wav,lo-13.wav,lonely,add_noise
aug_lonely_0064_pitch_shift.wav,lo-13.wav,lonely,pitch_shift
aug_lonely_0065_time_stretch.wav,3f61124d-d02c-47dd-a009-44e97e60c4ca-1430759482503-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0066_add_noise.wav,be21ef2a-a415-4e8b-bfe6-731bf9956e2c-1431320938449-1.7-f-26-lo.wav,lonely,add_noise
aug_lonely_0067_pitch_shift.wav,lo-1.wav,lonely,pitch_shift
aug_lonely_0068_time_stretch.wav,dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0069_time_stretch.wav,076e33bf-c599-4eee-a6e3-dbc1986ee493-1437288944366-1.7-f-72-lo.wav,lonely,time_stretch
aug_lonely_0070_pitch_shift.wav,lo-2.wav,lonely,pitch_shift
aug_lonely_0071_time_stretch.wav,lo-13.wav,lonely,time_stretch
aug_lonely_0072_add_noise.wav,lo-18.wav,lonely,add_noise
aug_lonely_0073_pitch_shift.wav,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185393784-1.7-f-26-lo.wav,lonely,pitch_shift
aug_lonely_0074_time_shift.wav,lo-1 - Copy.wav,lonely,time_shift
aug_lonely_0075_add_noise.wav,lo-1.wav,lonely,add_noise
aug_lonely_0076_time_shift.wav,3f61124d-d02c-47dd-a009-44e97e60c4ca-1430759482503-1.7-f-72-lo.wav,lonely,time_shift
aug_lonely_0077_add_noise.wav,lo-13.wav,lonely,add_noise
aug_lonely_0078_time_shift.wav,lo-13.wav,lonely,time_shift
aug_lonely_0079_pitch_shift.wav,lo-13.wav,lonely,pitch_shift
aug_lonely_0080_time_shift.wav,lo-18.wav,lonely,time_shift
aug_lonely_0081_time_shift.wav,lo-3.wav,lonely,time_shift
aug_lonely_0082_time_shift.wav,lo-19.wav,lonely,time_shift
aug_lonely_0083_add_noise.wav,lo-3.wav,lonely,add_noise
aug_lonely_0084_time_stretch.wav,lo-1 - Copy.wav,lonely,time_stretch
aug_lonely_0085_time_stretch.wav,lo-19.wav,lonely,time_stretch
aug_lonely_0086_pitch_shift.wav,lo-18.wav,lonely,pitch_shift
aug_lonely_0087_add_noise.wav,be21ef2a-a415-4e8b-bfe6-731bf9956e2c-1431320938449-1.7-f-26-lo.wav,lonely,add_noise
aug_lonely_0088_add_noise.wav,lo-19.wav,lonely,add_noise
aug_lonely_0089_time_stretch.wav,88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114359516-1.7-m-04-lo.wav,lonely,time_stretch
aug_lonely_0090_add_noise.wav,lo-3 - Copy.wav,lonely,add_noise
aug_lonely_0091_time_shift.wav,lo-3 - Copy.wav,lonely,time_shift
aug_lonely_0092_add_noise.wav,lo-1 - Copy.wav,lonely,add_noise
aug_lonely_0093_time_stretch.wav,lo-18.wav,lonely,time_stretch
aug_lonely_0094_pitch_shift.wav,lo-2.wav,lonely,pitch_shift
aug_lonely_0095_add_noise.wav,lo-1 - Copy.wav,lonely,add_noise
aug_lonely_0096_add_noise.wav,lo-18.wav,lonely,add_noise
aug_lonely_0097_pitch_shift.wav,lo-4.wav,lonely,pitch_shift
aug_lonely_0098_time_shift.wav,lo-18 - Copy.wav,lonely,time_shift
aug_lonely_0099_time_stretch.wav,lo-14.wav,lonely,time_stretch
aug_lonely_0100_time_stretch.wav,lo-12 - Copy.wav,lonely,time_stretch
aug_lonely_0101_add_noise.wav,lo-13.wav,lonely,add_noise
aug_lonely_0102_pitch_shift.wav,d1e236a0-e030-4137-9030-5625026cd098-1430390498353-1.2-m-04-lo.wav,lonely,pitch_shift
