file_path,file_name,category,sample_rate,duration_sec,num_samples,is_augmented
data/processed/audio_clean/belly pain/379c.wav,379c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/406c.wav,406c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/396c.wav,396c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/402c.wav,402c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/393c.wav,393c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/370c.wav,370c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/373c.wav,373c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/361c.wav,361c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/375c.wav,375c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/362c.wav,362c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/359c.wav,359c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/410c.wav,410c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/408c.wav,408c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/365c.wav,365c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/389c.wav,389c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/369c.wav,369c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/378c.wav,378c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/405c.wav,405c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/363c.wav,363c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/388c.wav,388c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/390c.wav,390c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/371c.wav,371c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/377c.wav,377c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/387c.wav,387c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/386c.wav,386c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/372c.wav,372c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/398c.wav,398c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/367c.wav,367c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/384c.wav,384c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/380c.wav,380c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/364c.wav,364c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/400c.wav,400c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/407c.wav,407c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/395c.wav,395c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/366c.wav,366c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/391c.wav,391c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/381c.wav,381c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/360c.wav,360c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/403c.wav,403c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/401c.wav,401c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/383c.wav,383c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/357c.wav,357c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/394c.wav,394c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/368c.wav,368c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/385c.wav,385c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/399c.wav,399c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/397c.wav,397c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/404c.wav,404c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/409c.wav,409c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/374c.wav,374c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/358c.wav,358c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/376c.wav,376c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/392c.wav,392c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/382c.wav,382c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/457c.wav,457c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/438c.wav,438c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/426c.wav,426c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/413c.wav,413c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/451c.wav,451c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/440c.wav,440c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/412c.wav,412c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/450c.wav,450c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp (2).wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp (2).wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/415c.wav,415c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/425c.wav,425c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/463c.wav,463c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/439c.wav,439c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/414c.wav,414c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/458c.wav,458c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/433c.wav,433c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/417c.wav,417c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/456c.wav,456c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/447c.wav,447c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/411c.wav,411c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/427c.wav,427c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/436c.wav,436c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/444c.wav,444c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/441c.wav,441c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/429c.wav,429c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/435c.wav,435c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/418c.wav,418c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/419c.wav,419c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/428c.wav,428c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/432c.wav,432c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp (2).wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp (2).wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/459c.wav,459c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/445c.wav,445c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/464c.wav,464c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/454c.wav,454c.wav,belly pain,22050,7.0,154350,False
data/processed/audio_clean/belly pain/442c.wav,442c.wav,belly pain,22050,7.0,154350,False
